tipo,geojson,geom
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4053699680799,-34.834862458192]}",0101000020E61000008BD7C129E3334DC0DD4BE5C5DC6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4062712571943,-34.8347290366778]}",0101000020E6100000277A51B200344DC0C4C6AC66D86A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4071757740656,-34.8345951301632]}",0101000020E6100000EFAAF4551E344DC0D6B96203D46A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3994924666778,-34.8357240673213]}",0101000020E61000008EB0B39122334DC0FFCF9801F96A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3880135068913,-34.8366600091176]}",0101000020E61000008A40356DAA314DC00384D8AC176B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3881077384838,-34.8358821478745]}",0101000020E61000006B0EAE83AD314DC03737AC2FFE6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2268233851595,-34.7775641708088]}",0101000020E6100000349D768C081D4DC027150639876341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2274367802426,-34.7765752568667]}",0101000020E61000005186FEA51C1D4DC0099069D1666341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2281115186534,-34.7755239155264]}",0101000020E61000008A3A1CC2321D4DC0D4391F5E446341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2287299664005,-34.7745603145554]}",0101000020E610000017A70606471D4DC0BFE5D9CA246341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3847370836823,-34.8370637752565]}",0101000020E6100000A8FC93103F314DC051B2E1E7246B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3857848044399,-34.8375064274605]}",0101000020E6100000752E7F6561314DC0F4101E69336B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3535017043363,-34.8097788747126]}",0101000020E6100000329A398B3F2D4DC0F2F08BD5A66741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3526550534808,-34.8093036696331]}",0101000020E610000014BC00CD232D4DC0B2CD3C43976741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3879095385842,-34.8294468677266]}",0101000020E610000042030F05A7314DC0E053A1502B6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3802079222225,-34.8361240658901]}",0101000020E610000017D037A7AA304DC0C632071D066B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4016133108175,-34.8283188772394]}",0101000020E6100000B5CCA11068334DC086335C5A066A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4062625950245,-34.8234389021192]}",0101000020E6100000F79BA76900344DC0996D2972666941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4052452268135,-34.8248634829122]}",0101000020E61000001B035A13DF334DC0E3626920956941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4047719553574,-34.8254876247397]}",0101000020E6100000924C4391CF334DC044C11794A96941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4037126347275,-34.8269323247049]}",0101000020E6100000819109DBAC334DC06B4E1DEBD86941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4031922798751,-34.8276307693492]}",0101000020E61000001708FCCD9B334DC059C217CEEF6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4027048065066,-34.8282905062753]}",0101000020E6100000A3F1C2D48B334DC019055E6C056A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4042293880181,-34.8262351918916]}",0101000020E61000005CCFE0C9BD334DC048FD2313C26941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4166213519615,-34.8276710265108]}",0101000020E6100000B9BE34D953354DC0F25ACB1FF16941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4157889684977,-34.8272612675285]}",0101000020E61000001EDEAA9238354DC028A47CB2E36941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4150571028279,-34.8269005275763]}",0101000020E61000001F4F559720354DC0237E61E0D76941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4143126570784,-34.8265331389712]}",0101000020E61000003B3C783208354DC0817880D6CB6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4135357902871,-34.8261598116101]}",0101000020E61000001981A3BDEE344DC03F11CE9ABF6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.412795752048,-34.8257959526829]}",0101000020E6100000A97CBF7DD6344DC098F888AEB36941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4120328241526,-34.8254222956297]}",0101000020E61000008F4ED87DBD344DC03B8F1270A76941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.41131892848,-34.8250722926067]}",0101000020E61000000F064119A6344DC06FCA08F89B6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4105864274892,-34.8246991590189]}",0101000020E6100000B81F97188E344DC02D83F6BD8F6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.407329070038,-34.8230875184177]}",0101000020E6100000FC42E55B23344DC0C0AC8AEE5A6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4226912896729,-34.8245264431067]}",0101000020E61000007AB988BF1A364DC052EA1D158A6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4220035561204,-34.825080766314]}",0101000020E6100000952A683604364DC044F01D3F9C6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4213360971219,-34.8256193228003]}",0101000020E6100000A9E15A57EE354DC0BC2FDBE4AD6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.420691599549,-34.8261844061971]}",0101000020E6100000E6E1EA38D9354DC0738A1E69C06941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4200061035201,-34.8267277228194]}",0101000020E6100000A05E8FC2C2354DC0571ACA36D26941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4193328115954,-34.8272613556266]}",0101000020E61000008CF893B2AC354DC09AD439B3E36941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4186376309821,-34.8277874495643]}",0101000020E6100000B0F8FAEA95354DC085F56BF0F46941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4413462929809,-34.8329534634846]}",0101000020E610000031480B097E384DC0D16016389E6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4406570124902,-34.8326106136239]}",0101000020E6100000FBB2F07267384DC09EE80DFC926A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4398476027649,-34.8322086024511]}",0101000020E6100000B48C1EED4C384DC0167DBDCF856A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4390252476244,-34.831799883107]}",0101000020E61000001D55B4FA31384DC06B61276B786A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4382052313736,-34.8313783931275]}",0101000020E6100000CAD7E81B17384DC0AE8A709B6A6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4374146371126,-34.8309878561364]}",0101000020E61000005998EC33FD374DC04FBD60CF5D6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4365613741507,-34.8305663523365]}",0101000020E61000004A563C3EE1374DC0C4388CFF4F6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4145144910636,-34.8311380357478]}",0101000020E61000000A6B93CF0E354DC0CDFF2CBB626A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2700688486084,-34.8177760204326]}",0101000020E61000008038B49D91224DC0FD9A77E2AC6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2696469583173,-34.8183032574816]}",0101000020E610000028B8A1CA83224DC0FA8B4029BE6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2690870202052,-34.8190013829366]}",0101000020E6100000A1C7877171224DC0BC8B8D09D56841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2685996999978,-34.8196108450967]}",0101000020E61000005F9A977961224DC08D911702E96841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2675894979058,-34.8209418012007]}",0101000020E61000001821675F40224DC0BF09F69E146941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.26994845115,-34.8166764065778]}",0101000020E6100000C8A5BCAB8D224DC04CD53CDA886841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2665300661848,-34.8212150458535]}",0101000020E610000012D53EA81D224DC048761A931D6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2691747419426,-34.8170009549903]}",0101000020E6100000C6C6645174224DC0F43DBF7C936841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2686862744124,-34.8176151346158]}",0101000020E61000001CBED44F64224DC0DCF1DB9CA76841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2681597406839,-34.8182734301075]}",0101000020E6100000AD2BF20E53224DC0B1BF0A2FBD6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2676148780655,-34.8189552203145]}",0101000020E61000006F9B4E3441224DC0D8115086D36841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2670982552628,-34.8196133693585]}",0101000020E61000000B968F4630224DC02C614417E96841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2665824387515,-34.8202708749369]}",0101000020E61000001410945F1F224DC093DBD2A2FE6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.230913514458,-34.8355888822722]}",0101000020E61000009566F4928E1D4DC04F219593F46A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2315343654535,-34.8361673421833]}",0101000020E6100000F1C207EBA21D4DC086540E88076B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2321164930102,-34.8367147833718]}",0101000020E6100000A12B45FEB51D4DC0B3545378196B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2326973737944,-34.8372625971707]}",0101000020E6100000EA270D07C91D4DC09481B86B2B6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2333894166955,-34.837910691954]}",0101000020E61000004CF853B4DF1D4DC09D7455A8406B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2340102638591,-34.8384905917279]}",0101000020E6100000021A5F0CF41D4DC0CDBCE2A8536B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2346919952219,-34.839123862093]}",0101000020E6100000350E26630A1E4DC0CB7D2469686B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2353897061088,-34.8397680638234]}",0101000020E6100000B0C6F83F211E4DC0652C19857D6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.231552130677,-34.8351243429613]}",0101000020E6100000D1490E80A31D4DC0588EBE5AE56A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2321727783738,-34.8357019935366]}",0101000020E610000089116DD6B71D4DC08DB86D48F86A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2327562911104,-34.8362489728491]}",0101000020E6100000F72049F5CA1D4DC0AED9D2340A6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2333397205582,-34.8367950328823]}",0101000020E6100000DB537213DE1D4DC0A9D781191C6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2340337832642,-34.8374432223466]}",0101000020E6100000B5A3AAD1F41D4DC01F1EEA56316B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2346530694329,-34.8380239786426]}",0101000020E6100000698F9D1C091E4DC055C4A65E446B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.235259827797,-34.8385925373858]}",0101000020E6100000AE3979FE1C1E4DC0F35E1100576B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2358735123651,-34.8391675844114]}",0101000020E6100000E0CC6E1A311E4DC08474E9D7696B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2240917597482,-34.8393978288888]}",0101000020E6100000F4B5ED09AF1C4DC093B45763716B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2253136132551,-34.8385249440053]}",0101000020E61000001F239413D71C4DC007B10DC9546B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2263034208641,-34.8378178082215]}",0101000020E6100000C7CAAF82F71C4DC0AC282B9D3D6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2272945727284,-34.8371096913481]}",0101000020E6100000A43612FD171D4DC0A2C00D69266B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2282849279043,-34.8364021229534]}",0101000020E61000005EC2C570381D4DC0E5318A390F6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2292769181712,-34.8356933655707]}",0101000020E6100000F5A230F2581D4DC0194E0D00F86A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2201555325524,-34.8378203338069]}",0101000020E61000004A2C760E2E1C4DC0EDCF5AB23D6B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.22150797737,-34.8390478001076]}",0101000020E6100000B54D975F5A1C4DC0119F16EB656B41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2114220964875,-34.7981851479895]}",0101000020E6100000630817E10F1B4DC0486251EE2A6641C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2121085105926,-34.7971892929045]}",0101000020E61000006519265F261B4DC084DF7A4C0A6641C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2141478374439,-34.7942294333067]}",0101000020E61000004D2A4332691B4DC053C9604FA96541C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2153847766345,-34.7925169925336]}",0101000020E6100000CBD975BA911B4DC05E3A6232716541C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2187571003203,-34.7883661539551]}",0101000020E61000005ED28F3B001C4DC05041A02EE96441C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2224166946658,-34.7837688481918]}",0101000020E610000043D67626781C4DC0B84DA189526441C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2231676807719,-34.7827744973367]}",0101000020E6100000443831C2901C4DC01E1A69F4316441C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2239004561927,-34.7817593744975]}",0101000020E61000001F7428C5A81C4DC06F67F1B0106441C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2261039642699,-34.7786400090489]}",0101000020E6100000850486F9F01C4DC06D1CCF79AA6341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.229408326632,-34.7735097434863]}",0101000020E6100000412886405D1D4DC09BB4055E026341C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2300766072143,-34.7724764283232]}",0101000020E6100000B5C77726731D4DC01D4AF281E06241C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2307015141186,-34.7715108714934]}",0101000020E61000007C2391A0871D4DC050C944DEC06241C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2313437358763,-34.77052069352]}",0101000020E61000008BDCE9AB9C1D4DC0A9C70D6CA06241C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2371417942137,-34.7481875804883]}",0101000020E6100000D1548DA95A1E4DC043BC529CC45F41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2362780917901,-34.7477138681585]}",0101000020E6100000F37F4A5C3E1E4DC0D0408916B55F41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.235325724823,-34.7471878208814]}",0101000020E6100000DB0242271F1E4DC0DA53BBD9A35F41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.2343428579436,-34.7466464715767]}",0101000020E6100000A2755FF2FE1D4DC03B8C901C925F41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3467030423481,-34.807106691559]}",0101000020E61000008D27EAC3602C4DC07B50A6454F6741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3460889805604,-34.8078727908123]}",0101000020E6100000A581CAA44C2C4DC0FCEE2760686741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3454904933402,-34.8086194421478]}",0101000020E6100000C8FC5008392C4DC0A27785D7806741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.344881705785,-34.8093863390774]}",0101000020E6100000EAAA6F15252C4DC04F15B8F8996741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3518052507797,-34.8088310499977]}",0101000020E61000007E5457F4072D4DC059DD9DC6876741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3509399040516,-34.8083532753549]}",0101000020E6100000A9614999EB2C4DC0C2A1C01E786741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3500921314109,-34.8079084018854]}",0101000020E61000009B7FA7D1CF2C4DC07021E28A696741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3492288349999,-34.8074505754462]}",0101000020E61000008E92CC87B32C4DC0BF565B8A5A6741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3483376264637,-34.806991519345]}",0101000020E61000005AD0CC53962C4DC037DE837F4B6741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3648384477355,-34.8161958416185]}",0101000020E61000007CACB806B32E4DC0FD70F71A796841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3640174243634,-34.8157528954893]}",0101000020E610000054687A1F982E4DC030DF43976A6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3630901790115,-34.8152468839344]}",0101000020E6100000372D2EBD792E4DC0025588025A6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.362232863824,-34.8147841824013]}",0101000020E610000092D47FA55D2E4DC0135B1CD94A6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3614347823588,-34.8143389424739]}",0101000020E61000001BEFB47E432E4DC06AE42A423C6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3605234959443,-34.8138525861438]}",0101000020E6100000994248A2252E4DC055A050522C6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3596716259342,-34.8133985342675]}",0101000020E6100000DA5747B8092E4DC087A573711D6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3588553589281,-34.8129464157734]}",0101000020E61000009C4BEFF8EE2D4DC0D192CEA00E6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3580507583563,-34.8125122232253]}",0101000020E610000062B9749BD42D4DC0292D8966006841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3570575043393,-34.8119702149956]}",0101000020E6100000E0F66F0FB42D4DC0B75DD7A3EE6741C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3561147929776,-34.8114593310208]}",0101000020E6100000F1BA662B952D4DC056623CE6DD6741C0
